IDContrato;DataFoto;IDTranche;Tipo;DataBase;DataBaixa;DataEvento;Projetado;Realizado;TaxaCambio;TaxaVariante;Taxa;FoiRealizado
170374;1900-01-01;1;0;2000-08-17;2000-08-22;2000-08-22;10000000;0.0000;0.0000;0.0000;0.0000;1
170374;1900-01-01;1;3;2001-02-17;2001-02-23;2001-02-17;54999999999999900000;0.0000;0.0000;0.0000;110000;0
170374;1900-01-01;1;3;2001-08-17;2001-08-22;2001-08-17;54999999999999900000;0.0000;0.0000;0.0000;110000;0
170374;1900-01-01;1;3;2002-02-17;2002-02-22;2002-02-17;54999999999999900000;0.0000;0.0000;0.0000;110000;0
170374;1900-01-01;1;3;2002-08-17;2002-08-22;2002-08-17;54999999999999900000;0.0000;0.0000;0.0000;110000;0
170374;1900-01-01;1;3;2003-02-17;2003-02-21;2003-02-17;54999999999999900000;0.0000;0.0000;0.0000;110000;0
170374;1900-01-01;1;3;2003-08-17;2003-08-21;2003-08-17;54999999999999900000;0.0000;0.0000;0.0000;110000;0
170374;1900-01-01;1;3;2004-02-17;2004-02-20;2004-02-17;54999999999999900000;0.0000;0.0000;0.0000;110000;0
170374;1900-01-01;1;3;2004-08-17;2004-08-20;2004-08-17;54999999999999900000;0.0000;0.0000;0.0000;110000;0
170374;1900-01-01;1;3;2005-02-17;2005-02-23;2005-02-17;54999999999999900000;0.0000;0.0000;0.0000;110000;0
170374;1900-01-01;1;3;2005-08-17;2005-08-22;2005-08-17;54999999999999900000;0.0000;0.0000;0.0000;110000;0
170374;1900-01-01;1;3;2006-02-17;2006-02-23;2006-02-17;54999999999999900000;0.0000;0.0000;0.0000;110000;0
170374;1900-01-01;1;3;2006-08-17;2006-08-22;2006-08-17;54999999999999900000;0.0000;0.0000;0.0000;110000;0
170374;1900-01-01;1;3;2007-02-17;2007-02-23;2007-02-17;54999999999999900000;0.0000;0.0000;0.0000;110000;0
170374;1900-01-01;1;3;2007-08-17;2007-08-22;2007-08-17;54999999999999900000;0.0000;0.0000;0.0000;110000;0
170374;1900-01-01;1;3;2008-02-17;2008-02-22;2008-02-17;54999999999999900000;0.0000;0.0000;0.0000;110000;0
170374;1900-01-01;1;3;2008-08-17;2008-08-21;2008-08-17;54999999999999900000;0.0000;0.0000;0.0000;110000;0
170374;1900-01-01;1;3;2009-02-17;2009-02-20;2009-02-17;54999999999999900000;0.0000;0.0000;0.0000;110000;0
170374;1900-01-01;1;3;2009-08-17;2009-08-20;2009-08-17;54999999999999900000;0.0000;0.0000;0.0000;110000;0
170374;1900-01-01;1;3;2010-02-17;2010-02-22;2010-02-17;54999999999999900000;0.0000;0.0000;0.0000;110000;0
170374;1900-01-01;1;3;2010-08-17;2010-08-20;2010-08-17;54999999999999900000;0.0000;0.0000;0.0000;110000;0
170374;1900-01-01;1;3;2011-02-17;2011-02-23;2011-02-17;54999999999999900000;0.0000;0.0000;0.0000;110000;0
170374;1900-01-01;1;3;2011-08-17;2011-08-22;2011-08-17;54999999999999900000;0.0000;0.0000;0.0000;110000;0
170374;1900-01-01;1;3;2012-02-17;2012-02-23;2012-02-17;54999999999999900000;0.0000;0.0000;0.0000;110000;0
170374;1900-01-01;1;3;2012-08-17;2012-08-22;2012-08-17;54999999999999900000;0.0000;0.0000;0.0000;110000;0
170374;1900-01-01;1;3;2013-02-17;2013-02-21;2013-02-17;54999999999999900000;0.0000;0.0000;0.0000;110000;0
170374;1900-01-01;1;3;2013-08-17;2013-08-22;2013-08-17;54999999999999900000;0.0000;0.0000;0.0000;110000;0
170374;1900-01-01;1;3;2014-02-17;2014-02-20;2014-02-17;54999999999999900000;0.0000;0.0000;0.0000;110000;0
170374;1900-01-01;1;3;2014-08-17;2014-08-21;2014-08-17;54999999999999900000;0.0000;0.0000;0.0000;110000;0
170374;1900-01-01;1;2;2015-02-17;2015-02-20;2015-02-17;10000000;0.0000;0.0000;0.0000;0.0000;0
170374;1900-01-01;1;3;2015-02-17;2015-02-20;2015-02-17;54999999999999900000;0.0000;0.0000;0.0000;110000;0
175702;1900-01-01;1;0;2000-12-15;2000-12-15;2000-12-15;10000000;0.0000;0.0000;0.0000;0.0000;1
175702;1900-01-01;1;3;2001-06-15;2001-06-15;2001-06-15;58750000000000100000;0.0000;0.0000;0.0000;11.75;0
175702;1900-01-01;1;3;2001-12-17;2001-12-17;2001-12-15;59421801310984200000;0.0000;0.0000;0.0000;11.75;0
175702;1900-01-01;1;3;2002-06-17;2002-06-17;2002-06-15;58750000000000100000;0.0000;0.0000;0.0000;11.75;0
175702;1900-01-01;1;3;2002-12-16;2002-12-16;2002-12-15;58414259112568700000;0.0000;0.0000;0.0000;11.75;0
175702;1900-01-01;1;3;2003-06-16;2003-06-16;2003-06-15;58750000000000100000;0.0000;0.0000;0.0000;11.75;0
175702;1900-01-01;1;3;2003-12-15;2003-12-15;2003-12-15;58414259112568700000;0.0000;0.0000;0.0000;11.75;0
175702;1900-01-01;1;3;2004-06-15;2004-06-15;2004-06-15;58750000000000100000;0.0000;0.0000;0.0000;11.75;0
175702;1900-01-01;1;3;2004-12-15;2004-12-15;2004-12-15;58750000000000100000;0.0000;0.0000;0.0000;11.75;0
175702;1900-01-01;1;3;2005-06-15;2005-06-15;2005-06-15;58750000000000100000;0.0000;0.0000;0.0000;11.75;0
175702;1900-01-01;1;3;2005-12-15;2005-12-15;2005-12-15;58750000000000100000;0.0000;0.0000;0.0000;11.75;0
175702;1900-01-01;1;3;2006-06-15;2006-06-15;2006-06-15;58750000000000100000;0.0000;0.0000;0.0000;11.75;0
175702;1900-01-01;1;3;2006-12-15;2006-12-15;2006-12-15;58750000000000100000;0.0000;0.0000;0.0000;11.75;0
175702;1900-01-01;1;3;2007-06-15;2007-06-15;2007-06-15;58750000000000100000;0.0000;0.0000;0.0000;11.75;0
175702;1900-01-01;1;3;2007-12-17;2007-12-17;2007-12-15;59421801310984200000;0.0000;0.0000;0.0000;11.75;0
175702;1900-01-01;1;3;2008-06-16;2008-06-16;2008-06-15;58414259112568700000;0.0000;0.0000;0.0000;11.75;0
175702;1900-01-01;1;3;2008-12-15;2008-12-15;2008-12-15;58414259112568700000;0.0000;0.0000;0.0000;11.75;0
175702;1900-01-01;1;3;2009-06-15;2009-06-15;2009-06-15;58750000000000100000;0.0000;0.0000;0.0000;11.75;0
175702;1900-01-01;1;3;2009-12-15;2009-12-15;2009-12-15;58750000000000100000;0.0000;0.0000;0.0000;11.75;0
175702;1900-01-01;1;3;2010-06-15;2010-06-15;2010-06-15;58750000000000100000;0.0000;0.0000;0.0000;11.75;0
175702;1900-01-01;1;3;2010-12-15;2010-12-15;2010-12-15;58750000000000100000;0.0000;0.0000;0.0000;11.75;0
175702;1900-01-01;1;3;2011-06-15;2011-06-15;2011-06-15;58750000000000100000;0.0000;0.0000;0.0000;11.75;0
175702;1900-01-01;1;3;2011-12-15;2011-12-15;2011-12-15;58750000000000100000;0.0000;0.0000;0.0000;11.75;0
175702;1900-01-01;1;3;2012-06-15;2012-06-15;2012-06-15;58750000000000100000;0.0000;0.0000;0.0000;11.75;0
175702;1900-01-01;1;3;2012-12-17;2012-12-17;2012-12-15;59421801310984200000;0.0000;0.0000;0.0000;11.75;0
175702;1900-01-01;1;3;2013-06-17;2013-06-17;2013-06-15;58750000000000100000;0.0000;0.0000;0.0000;11.75;0
175702;1900-01-01;1;3;2013-12-16;2013-12-16;2013-12-15;58414259112568700000;0.0000;0.0000;0.0000;11.75;0
175702;1900-01-01;1;3;2014-06-16;2014-06-16;2014-06-15;58750000000000100000;0.0000;0.0000;0.0000;11.75;0
175702;1900-01-01;1;3;2014-12-15;2014-12-15;2014-12-15;58414259112568700000;0.0000;0.0000;0.0000;11.75;0
175702;1900-01-01;1;2;2015-06-15;2015-06-15;2015-06-15;10000000;0.0000;0.0000;0.0000;1000000;0
175702;1900-01-01;1;3;2015-06-15;2015-06-15;2015-06-15;58750000000000100000;0.0000;0.0000;0.0000;11.75;0
278266;1900-01-01;1;0;2007-11-09;2007-11-09;2007-11-09;960000000000000;0.0000;0.0000;0.0000;0.0000;1
278266;1900-01-01;2;0;2007-11-09;2007-11-09;2007-11-09;960000000000000;0.0000;0.0000;0.0000;0.0000;1
278266;1900-01-01;1;3;2008-05-09;2008-05-09;2008-05-09;34034498630136900000;0.0000;0.0000;0.0000;7.11;0
278266;1900-01-01;2;3;2008-05-09;2008-05-09;2008-05-09;84176213333333300000;0.0000;0.0000;0.0000;0.0000;0
278266;1900-01-01;1;3;2008-11-10;2008-11-10;2008-11-10;34595506849315100000;0.0000;0.0000;0.0000;7.11;0
278266;1900-01-01;2;3;2008-11-10;2008-11-10;2008-11-10;80931333333333300000;0.0000;0.0000;0.0000;0.0000;0
278266;1900-01-01;1;3;2009-05-11;2009-05-11;2009-05-11;34034498630136900000;0.0000;0.0000;0.0000;7.11;0
278266;1900-01-01;2;3;2009-05-11;2009-05-11;2009-05-11;18219968050989200000;0.0000;0.0000;0.0000;0.0000;0
278266;1900-01-01;1;2;2009-11-09;2009-11-09;2009-11-09;960000000000000;0.0000;0.0000;0.0000;0.0000;0
278266;1900-01-01;1;3;2009-11-09;2009-11-09;2009-11-09;34034498630136900000;0.0000;0.0000;0.0000;7.11;0
278266;1900-01-01;2;2;2009-11-09;2009-11-09;2009-11-09;960000000000000;0.0000;0.0000;0.0000;0.0000;0
278266;1900-01-01;2;3;2009-11-09;2009-11-09;2009-11-09;23469405255229200000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;0;2005-08-01;2005-08-01;2005-08-01;27057717054500000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2005-08-01;2005-08-01;2005-08-01;0.00000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2005-09-01;2005-09-01;2005-09-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2005-09-01;2005-09-01;2005-09-01;26092752429962900000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2005-10-01;2005-10-03;2005-10-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2005-10-01;2005-10-03;2005-10-01;24995989620101200000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2005-11-01;2005-11-01;2005-11-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2005-11-01;2005-11-01;2005-11-01;25565626118246500000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2005-12-01;2005-12-01;2005-12-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2005-12-01;2005-12-01;2005-12-01;24485867382956200000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2006-01-01;2006-01-02;2006-01-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2006-01-01;2006-01-02;2006-01-01;250384998065300000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2006-02-01;2006-02-01;2006-02-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2006-02-01;2006-02-01;2006-02-01;24774936650671800000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2006-03-01;2006-03-01;2006-03-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2006-03-01;2006-03-01;2006-03-01;22139305092089300000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2006-04-01;2006-04-03;2006-04-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2006-04-01;2006-04-03;2006-04-01;24247810338955400000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2006-05-01;2006-05-02;2006-05-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2006-05-01;2006-05-02;2006-05-01;23210561790093900000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2006-06-01;2006-06-01;2006-06-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2006-06-01;2006-06-01;2006-06-01;2372068402723900000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2006-07-01;2006-07-03;2006-07-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
