field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	field12
170374	1	Contrato_1	loand	17/02/2015	17/08/2000	USD	FixedRate	CALUSAOTC	American30_360	CNTBRA	
175702	2	Contrato_2	loand	15/06/2015	02/06/2000	USD	FixedRate	CALUSAOTC	American30_360	CNTARG	
278266	3	Contrato_3	swap	09/11/2009	09/11/2007	HUF		CALHUNOTC	Actual_365	CNTHUN	
372586	4	Contrato_4	bond	01/11/2013	01/01/1900	BRL	FixedRate	CALBRAOTC	Actual_360	CNTBRA	
441000	5	Contrato_5	loand	15/08/2028	15/08/1998	BRL	FixedRate	CALUSAOTC	American30_360	CNTUSA	
441122	6	Contrato_6	bond	14/11/2011	04/11/2008	BRL	FixedRate	CALEUROTC	Actual_360	CNTEUR	
446996	7	Contrato_7	swap	09/07/2014	08/01/2008	USD		CALUSAOTC	Actual_360	CNTUSA	
446997	8	Contrato_8	swap	01/07/2013	02/01/2011	CLP		CALCHLOTC	Actual_360	CNTCHL	
447023	9	Contrato_9	swap	01/07/2013	02/01/2011	ZAR		CALZAFOTC	Actual_360	CNTZAF	
447235	10	Contrato_10	swap	26/01/2015	10/03/2008	BRL		CALUSAOTC	NDU_252	CNTBRA	
447238	11	Contrato_11	swap	01/12/2011	17/11/2010	BRL		CALBRAOTC	NDU_252	CNTBRA	
447239	12	Contrato_12	swap	15/01/2016	14/01/2011	BRL		CALBRAOTC	Actual_360	CNTBRA	
447241	13	Contrato_13	swap	15/01/2013	12/11/2009	BRL		CALBRAOTC	Actual_360	CNTBRA	
449098	14	Contrato_14	swap	26/01/2012	22/02/2008	BRL		CALBRAOTC	NDU_252	CNTBRA	
450068	15	Contrato_15	swap	02/05/2011	04/11/2008	USD		CALBRAOTC	Actual_360	CNTBRA	
451207	16	Contrato_16	bond	28/01/2014	28/01/2011	USD	FixedRate	CALPEROTC	European30_360	CNTBRA	
453102	17	Contrato_17	bond	30/10/2014	30/07/2013	BRL	Libor 03M	CALUSANYS	Actual_360	CNTUSA	
495930	18	Contrato_18	swap	21/06/2006	21/06/2005	BRL		CALBRAOTC	American30_360	CNTBRA	
495942	19	Contrato_19	swap	21/06/2006	21/06/2005	BRL		CALBRAOTC	American30_360	CNTBRA	
495943	20	Contrato_20	swap	21/06/2006	21/06/2005	BRL		CALBRAOTC	Actual_360	CNTBRA	
495945	21	Contrato_21	swap	21/06/2006	21/06/2005	USD		CALBRAOTC	American30_360	CNTUSA	
495946	22	Contrato_22	swap	21/06/2006	21/06/2005	BRL		CALBRAOTC	Actual_360	CNTBRA	
